"service_id","date","exception_type"
1,20221226,2
1,20230410,2
1,20230501,2
1,20230529,2
1,20231003,2
1,20231031,2
1,20230518,2
1,20230407,2
2,20230102,1
2,20230417,1
2,20230717,1
2,20230724,1
2,20230731,1
2,20230807,1
2,20230814,1
2,20230821,1
2,20231016,1
2,20231023,1
2,20221227,1
2,20230103,1
2,20230411,1
2,20230418,1
2,20230718,1
2,20230725,1
2,20230801,1
2,20230808,1
2,20230815,1
2,20230822,1
2,20231017,1
2,20231024,1
2,20221228,1
2,20230104,1
2,20230412,1
2,20230419,1
2,20230719,1
2,20230726,1
2,20230802,1
2,20230809,1
2,20230816,1
2,20230823,1
2,20231018,1
2,20231025,1
2,20221229,1
2,20230105,1
2,20230406,1
2,20230413,1
2,20230420,1
2,20230720,1
2,20230727,1
2,20230803,1
2,20230810,1
2,20230817,1
2,20230824,1
2,20231019,1
2,20231026,1
2,20221223,1
2,20221230,1
2,20230106,1
2,20230414,1
2,20230421,1
2,20230519,1
2,20230721,1
2,20230728,1
2,20230804,1
2,20230811,1
2,20230818,1
2,20230825,1
2,20231020,1
2,20231027,1
3,20221226,2
3,20230102,2
3,20230410,2
3,20230417,2
3,20230501,2
3,20230529,2
3,20230717,2
3,20230724,2
3,20230731,2
3,20230807,2
3,20230814,2
3,20230821,2
3,20231016,2
3,20231023,2
3,20221227,2
3,20230103,2
3,20230411,2
3,20230418,2
3,20230718,2
3,20230725,2
3,20230801,2
3,20230808,2
3,20230815,2
3,20230822,2
3,20231003,2
3,20231017,2
3,20231024,2
3,20231031,2
3,20221228,2
3,20230104,2
3,20230412,2
3,20230419,2
3,20230719,2
3,20230726,2
3,20230802,2
3,20230809,2
3,20230816,2
3,20230823,2
3,20231018,2
3,20231025,2
3,20221229,2
3,20230105,2
3,20230406,2
3,20230413,2
3,20230420,2
3,20230518,2
3,20230720,2
3,20230727,2
3,20230803,2
3,20230810,2
3,20230817,2
3,20230824,2
3,20231019,2
3,20231026,2
3,20221223,2
3,20221230,2
3,20230106,2
3,20230407,2
3,20230414,2
3,20230421,2
3,20230519,2
3,20230721,2
3,20230728,2
3,20230804,2
3,20230811,2
3,20230818,2
3,20230825,2
3,20231020,2
3,20231027,2
4,20221205,2
4,20221226,2
4,20230102,2
4,20230410,2
4,20230417,2
4,20230501,2
